Grupo,Mesa,Medidas
1,1,16.43
1,1,16.37
1,1,16.46
1,1,15.58
1,1,16.53
1,1,16.28
1,1,15.60
1,1,15.84
1,1,16.47
1,1,15.53
1,2,15.65
1,2,16.30
1,2,16.00
1,2,15.55
1,2,16.26
1,2,16.46
1,2,15.82
1,2,15.97
1,2,15.86
1,2,16.04
1,3,16.19
1,3,16.47
1,3,15.60
1,3,16.18
1,3,16.70
1,3,16.49
1,3,15.85
1,3,15.43
1,3,15.75
1,3,15.43
1,4,15.63
1,4,15.73
1,4,15.70
1,4,15.91
1,4,16.52
1,4,15.94
1,4,15.63
1,4,15.83
1,4,15.26
1,4,15.67
1,5,15.77
1,5,15.85
1,5,15.24
1,5,15.18
1,5,15.84
1,5,15.82
1,5,15.76
1,5,15.78
1,5,15.70
1,5,16.03
1,6,15.53
1,6,16.11
1,6,15.34
1,6,15.65
1,6,15.74
1,6,16.04
1,6,15.83
1,6,16.31
1,6,15.79
1,6,15.97
1,7,15.54
1,7,15.55
1,7,15.65
1,7,15.76
1,7,15.93
1,7,16.27
1,7,16.35
1,7,16.40
1,7,16.50
1,7,16.78
1,8,16.16
1,8,16.30
1,8,15.93
1,8,15.99
1,8,16.37
1,8,15.72
1,8,15.39
1,8,16.09
1,8,15.66
1,8,16.20
1,9,16.27
1,9,16.15
1,9,16.91
1,9,16.70
1,9,16.91
1,9,15.60
1,9,16.27
1,9,15.67
1,9,16.66
1,9,15.52
2,1,16.32
2,1,15.71
2,1,16.53
2,1,16.12
2,1,15.44
2,1,15.95
2,1,15.73
2,1,15.93
2,1,16.23
2,1,15.81
2,2,15.95
2,2,16.29
2,2,15.65
2,2,15.76
2,2,15.63
2,2,16.10
2,2,16.16
2,2,16.18
2,2,16.52
2,2,16.09
2,3,15.67
2,3,16.24
2,3,16.28
2,3,16.20
2,3,16.13
2,3,15.72
2,3,15.71
2,3,15.72
2,3,15.73
2,3,15.74
2,4,15.83
2,4,15.67
2,4,15.87
2,4,15.91
2,4,15.81
2,4,15.79
2,4,15.83
2,4,15.78
2,4,16.62
2,4,15.95
2,5,15.48
2,5,16.32
2,5,15.69
2,5,15.81
2,5,15.47
2,5,15.39
2,5,15.47
2,5,15.55
2,5,15.27
2,5,14.87
2,6,15.63
2,6,16.00
2,6,15.77
2,6,15.08
2,6,15.63
2,6,15.54
2,6,15.93
2,6,15.58
2,6,14.81
2,6,16.05
2,7,15.64
2,7,15.14
2,7,15.99
2,7,16.02
2,7,15.70
2,7,16.02
2,7,16.18
2,7,15.11
2,7,15.70
2,7,16.05
2,8,15.82
2,8,15.70
2,8,16.31
2,8,16.37
2,8,15.19
2,8,15.77
2,8,16.05
2,8,15.59
2,8,15.61
2,8,15.47
2,9,16.00
2,9,15.22
2,9,16.10
2,9,15.39
2,9,16.20
2,9,15.23
2,9,15.34
2,9,15.22
2,9,15.09
2,9,15.23
3,1,16.07
3,1,15.74
3,1,16.14
3,1,15.55
3,1,15.65
3,1,16.23
3,1,16.01
3,1,15.78
3,1,15.53
3,1,16.10
3,2,15.97
3,2,15.80
3,2,15.50
3,2,15.92
3,2,16.06
3,2,16.21
3,2,16.00
3,2,15.95
3,2,16.32
3,2,15.70
3,3,15.80
3,3,15.90
3,3,15.85
3,3,16.11
3,3,15.75
3,3,16.20
3,3,16.03
3,3,15.71
3,3,16.42
3,3,15.61
3,4,15.77
3,4,15.83
3,4,15.94
3,4,15.95
3,4,16.04
3,4,16.06
3,4,15.89
3,4,16.28
3,4,16.42
3,4,15.65
3,5,15.80
3,5,16.16
3,5,15.05
3,5,15.55
3,5,15.18
3,5,15.88
3,5,15.95
3,5,16.42
3,5,15.90
3,5,15.54
3,6,15.26
3,6,15.65
3,6,15.99
3,6,15.06
3,6,15.78
3,6,15.57
3,6,15.06
3,6,15.90
3,6,15.81
3,6,15.47
3,7,16.50
3,7,16.37
3,7,15.70
3,7,16.10
3,7,15.93
3,7,16.13
3,7,16.44
3,7,16.24
3,7,15.85
3,7,16.74
3,8,15.91
3,8,16.00
3,8,15.70
3,8,15.82
3,8,15.75
3,8,16.25
3,8,16.48
3,8,16.21
3,8,15.98
3,8,16.01
3,9,15.55
3,9,16.19
3,9,15.73
3,9,15.91
3,9,15.93
3,9,16.29
3,9,15.43
3,9,15.27
3,9,15.48
3,9,15.36
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
